2018-07-18T22:00:25.728-0400 I NETWORK  [conn36] received client metadata from 127.0.0.1:49522 conn36: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:02:14.583-0400 I NETWORK  [conn36] end connection 127.0.0.1:49522 (0 connections now open)
2018-07-18T22:05:12.238-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49546 #37 (1 connection now open)
2018-07-18T22:05:12.238-0400 I NETWORK  [conn37] received client metadata from 127.0.0.1:49546 conn37: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:07:25.072-0400 I NETWORK  [conn37] end connection 127.0.0.1:49546 (0 connections now open)
2018-07-18T22:08:23.296-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49550 #38 (1 connection now open)
2018-07-18T22:08:23.297-0400 I NETWORK  [conn38] received client metadata from 127.0.0.1:49550 conn38: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:10:32.063-0400 I NETWORK  [conn38] end connection 127.0.0.1:49550 (0 connections now open)
2018-07-18T22:11:03.262-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49558 #39 (1 connection now open)
2018-07-18T22:11:03.266-0400 I NETWORK  [conn39] received client metadata from 127.0.0.1:49558 conn39: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:12:46.388-0400 I NETWORK  [conn39] end connection 127.0.0.1:49558 (0 connections now open)
2018-07-18T22:13:22.698-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49565 #40 (1 connection now open)
2018-07-18T22:13:22.698-0400 I NETWORK  [conn40] received client metadata from 127.0.0.1:49565 conn40: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:14:57.319-0400 I NETWORK  [conn40] end connection 127.0.0.1:49565 (0 connections now open)
2018-07-18T22:16:23.748-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49582 #41 (1 connection now open)
2018-07-18T22:16:23.748-0400 I NETWORK  [conn41] received client metadata from 127.0.0.1:49582 conn41: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:18:55.183-0400 I NETWORK  [conn41] end connection 127.0.0.1:49582 (0 connections now open)
2018-07-18T22:20:04.454-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49594 #42 (1 connection now open)
2018-07-18T22:20:04.455-0400 I NETWORK  [conn42] received client metadata from 127.0.0.1:49594 conn42: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:21:38.485-0400 I NETWORK  [conn42] end connection 127.0.0.1:49594 (0 connections now open)
2018-07-18T22:22:52.871-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49600 #43 (1 connection now open)
2018-07-18T22:22:52.871-0400 I NETWORK  [conn43] received client metadata from 127.0.0.1:49600 conn43: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:26:07.996-0400 I NETWORK  [conn43] end connection 127.0.0.1:49600 (0 connections now open)
2018-07-18T22:26:21.194-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49610 #44 (1 connection now open)
2018-07-18T22:26:21.195-0400 I NETWORK  [conn44] received client metadata from 127.0.0.1:49610 conn44: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:27:30.110-0400 I NETWORK  [conn44] end connection 127.0.0.1:49610 (0 connections now open)
2018-07-18T22:30:00.862-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49621 #45 (1 connection now open)
2018-07-18T22:30:00.862-0400 I NETWORK  [conn45] received client metadata from 127.0.0.1:49621 conn45: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:33:18.635-0400 I NETWORK  [conn45] end connection 127.0.0.1:49621 (0 connections now open)
